target,group,model,feature,importance_mean,importance_sd
VP(Out),auxiliary,HGB,TSS(In),0.37138828120990286,0.07571978927393601
VP(Out),auxiliary,HGB,NB(In),0.053075903663964044,0.017593889257209207
VP(Out),auxiliary,HGB,CN(In),0.0395180777207107,0.01661501906865424
VP(Out),auxiliary,HGB,SF(In),0.03587717755277973,0.04454417565196765
VP(Out),auxiliary,HGB,TP(In),0.2016815319145168,0.03872485066099191
VP(Out),auxiliary,HGB,VP(In),0.018381744475296592,0.013616543954291505
VP(Out),auxiliary,HGB,FCOH(In),0.37387641096098073,0.04333995592555806
pH(Out),auxiliary,HGB,COD(In),0.028143927917106647,0.00998732890592629
pH(Out),auxiliary,HGB,NH3-N(In),0.08130542072846031,0.006340779213525937
pH(Out),auxiliary,HGB,pH(In),0.02608856378266905,0.005853821854114737
pH(Out),auxiliary,HGB,TN(In),0.06825203506248044,0.007483758418203561
pH(Out),auxiliary,HGB,TPH(In),0.01900464229887272,0.0039519479720371625
pH(Out),auxiliary,HGB,chromaticity(In),0.02384402464965334,0.010632522924891122
pH(Out),auxiliary,HGB,TSS(In),0.009064097731511822,0.004627650920711342
pH(Out),auxiliary,HGB,NB(In),0.0417828523904179,0.005455750548523978
pH(Out),auxiliary,HGB,CN(In),1.0241837366689417,0.09620027287656695
pH(Out),auxiliary,HGB,SF(In),0.5381850879409102,0.04507106077945837
pH(Out),auxiliary,HGB,TP(In),-0.002690462376986036,0.004137123323941183
pH(Out),auxiliary,HGB,VP(In),0.3145638007310488,0.03216686301395162
pH(Out),auxiliary,HGB,FCOH(In),0.06707388161196373,0.008596150666070829
