doi,paper_title,year,journal,first_author,authors,publisher,issn,cited_by_count,crossref_type
10.1016/j.envsoft.2025.106443,,2025,Environmental Modelling &amp; Software,Xurxo Rigueira,Xurxo Rigueira; David Olivieri; Maria Araujo; Angeles Saavedra; Maria Pazo,Elsevier BV,1364-8152,2,
10.1016/j.seppur.2023.124627,,2023,Separation and Purification Technology,Sarah Almahfoodh,Sarah Almahfoodh; Adnan Qamar; Sarah Kerdi; Noreddine Ghaffour,Elsevier BV,1383-5866,11,
10.1109/nigercon62786.2024.10927288,,2024,2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON),Obafemi O. Olatunji,Obafemi O. Olatunji; Paul A. Adedeji; Nickey Jan van Rensburg; Nkosinathi Madushele,IEEE,,2,
10.1021/acs.est.4c12835,,2025,Environmental Science &amp; Technology,Yunyi Zhu,Yunyi Zhu; Yuan Wang; Elisabeth Zhu; Zeyu Ma; Hanchen Wang; Chunsheng Chen; Jing Guan; T. David Waite,American Chemical Society (ACS),0013-936X,20,
10.1186/s12302-024-00914-9,,2024,Environmental Sciences Europe,Syed Muzzamil Hussain Shah,Syed Muzzamil Hussain Shah; Sani I. Abba; Mohamed A. Yassin; Dahiru U. Lawal; Farouq Aliyu; Ebrahim Hamid Hussein Al-Qadami; Haris U. Qureshi; Isam H. Aljundi; Hamza A. Asmaly; Saad Sh. Sammen; Miklas Scholz,Springer Science and Business Media LLC,2190-4715,6,
10.1002/wer.11139,,2024,Water Environment Research,Sergi Baena‐Miret,Sergi Baena‐Miret; Marta Alet Puig; Rafael Bardisa Rodes; Laura Bonastre Farran; Santiago Durán; Marta Ganzer Martí; Eduardo Martínez‐Gomariz; Antonio Carrasco Valverde,Wiley,1061-4303,6,
10.15255/kui.2021.001,,2021,Kemija u industriji,Hichem Tahraoui,Hichem Tahraoui; Abd Elmouneïm Belhadj; Nassim Moula; Saliha Bouranene; Abdeltif Amrane,Croatian Society of Chemical Engineers/HDKI,1334-9090,7,
10.2166/aqua.2021.091,,2021,Journal of Water Supply: Research and Technology-Aqua,Z. Y. Wu,Z. Y. Wu; A. Chew; X. Meng; J. Cai; J. Pok; R. Kalfarisi; K. C. Lai; S. F. Hew; J. J. Wong,IWA Publishing,0003-7214,19,
10.1016/j.energy.2022.126449,,2023,Energy,Daniel Jia Sheng Chong,Daniel Jia Sheng Chong; Yi Jing Chan; Senthil Kumar Arumugasamy; Sara Kazemi Yazdi; Jun Wei Lim,Elsevier BV,0360-5442,89,
10.2166/aqua.2023.007,,2023,"AQUA — Water Infrastructure, Ecosystems and Society",Haiyan Lu,Haiyan Lu; Ao Ding; Yi Zheng; Jiping Jiang; Jingjie Zhang; Zhidong Zhang; Peng Xu; Xue Zhao; Feng Quan; Chuanzi Gao; Shijie Jiang; Rui Xiong; Yunlei Men; Liangsheng Shi,IWA Publishing,2709-8028,12,
10.1038/s41598-023-34657-z,,2023,Scientific Reports,Hossein Karimi,Hossein Karimi; Farzaneh Mohammadi; Saeed Rajabi; Amir Hossein Mahvi; Ghader Ghanizadeh,Springer Science and Business Media LLC,2045-2322,14,
10.1109/gitcon65266.2025.11376980,,2025,2025 Global Conference on Information Technology and Communication Networks (GITCON),D. Muthukumaran,D. Muthukumaran; Sujitha R; M. Muthulekshmi; Ganne Naga Sujini; T.M. Nithya; Vasantharaj S,IEEE,,0,
10.2166/wrd.2023.179,,2023,Water Reuse,D. Ramkumar,D. Ramkumar; V. Jothiprakash,IWA Publishing,2709-6092,1,
10.1155/2023/2871769,,2023,International Journal of Chemical Engineering,Lingga Aksara Putra,Lingga Aksara Putra; Bernhard Huber; Matthias Gaderer,Wiley,1687-8078,2,
10.1109/colcaci67437.2025.11230782,,2025,2025 IEEE Colombian Conference on Applications of Computational Intelligence (ColCACI),Laura Hernández Alpízar,Laura Hernández Alpízar; Josè Andrès Gómez Mejía,IEEE,,0,
10.1039/d2ra06952k,,2023,RSC Advances,Meng Xia,Meng Xia; Ruifang Yang; Gaofang Yin; Xiaowei Chen; Jingsong Chen; Nanjing Zhao,Royal Society of Chemistry (RSC),2046-2069,24,
10.1016/j.jenvman.2025.126144,,2025,Journal of Environmental Management,Gamze Ersan,Gamze Ersan; Eda Goz; Tanju Karanfil,Elsevier BV,0301-4797,2,
10.1109/ccdc.2019.8832519,,2019,2019 Chinese Control And Decision Conference (CCDC),Binbin Chi,Binbin Chi; Longhang Guo,IEEE,,4,
10.1109/access.2022.3216924,,2022,IEEE Access,Yue Zhang,Yue Zhang; Genki Suzuki; Hiroyuki Shioya,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,11,
10.1016/j.watres.2023.120075,,2023,Water Research,Eva Reynaert,Eva Reynaert; Philipp Steiner; Qixing Yu; Lukas D'Olif; Noah Joller; Mariane Y. Schneider; Eberhard Morgenroth,Elsevier BV,0043-1354,17,
10.14419/drek9d11,,2025,International Journal of Basic and Applied Sciences,Srinivasa Chanakya Muramshetti,Srinivasa Chanakya Muramshetti; Kishore Konel; R. Murugadoss; Vairavel Madeshwaren,Science Publishing Corporation,2227-5053,0,
10.1016/j.jhydrol.2020.125574,,2020,Journal of Hydrology,Huachang Hong,Huachang Hong; Zhiying Zhang; Aidi Guo; Liguo Shen; Hongjie Sun; Yan Liang; Fuyong Wu; Hongjun Lin,Elsevier BV,0022-1694,140,
10.1021/acsestengg.3c00368,,2023,ACS ES&amp;T Engineering,Xiaoshi Cheng,Xiaoshi Cheng; Runze Xu; Yang Wu; Baiyang Tang; Yuting Luo; Wenxuan Huang; Feng Wang; Shiyu Fang; Qian Feng; Yu Cheng; Song Cheng; Jingyang Luo,American Chemical Society (ACS),2690-0645,12,
10.1039/c9ra06609h,,2019,RSC Advances,Zhe Li,Zhe Li; Shunhao Huang; Juan Chen,Royal Society of Chemistry (RSC),2046-2069,7,
10.1016/j.rineng.2025.104626,,2025,Results in Engineering,Usman M. Ismail,Usman M. Ismail; Khalid Bani-Melhem; Muhammad Faizan Khan; Haitham Elnakar,Elsevier BV,2590-1230,22,
10.18178/ijesd.2017.8.7.1004,,2017,International Journal of Environmental Science and Development,Bharat B. Gulyani,Bharat B. Gulyani; Arshia Fathima,EJournal Publishing,2010-0264,6,
10.1080/00986445.2024.2321447,,2024,Chemical Engineering Communications,Wan Sieng Yeo,Wan Sieng Yeo; Shaula Japarin,Informa UK Limited,0098-6445,3,
10.1039/d3ew00181d,,2023,Environmental Science: Water Research &amp; Technology,Dongsheng Wang,Dongsheng Wang; Le Chen; Taiyang Li; Xiao Chang; Kaiwei Ma; Weihong You; Chaoqun Tan,Royal Society of Chemistry (RSC),2053-1400,8,
10.17979/spudc.9788497497565.0621,,2020,"Actas de las XXXIX Jornadas de Automática, Badajoz, 5-7 de Septiembre de 2018",Ivan Pisa,Ivan Pisa; Ignacio Santín; José López Vicario; Antonio Morell; Ramón Vilanova,Universidade da Coruña. Servizo de Publicacións,,6,
10.1016/j.memsci.2025.124346,,2025,Journal of Membrane Science,Mehryar Jafari,Mehryar Jafari; Christina Tzirtzipi; Ali Molaei Aghdam; Nima Mikaeili Chahartagh; Bernardo Castro Dominguez,Elsevier BV,0376-7388,7,
10.1016/j.jwpe.2023.104048,,2023,Journal of Water Process Engineering,Sebastian O.N. Topalian,Sebastian O.N. Topalian; Pedram Ramin; Kasper Kjellberg; Christian Kazadi Mbamba; Damien J. Batstone; Krist V. Gernaey; Xavier Flores-Alsina,Elsevier BV,2214-7144,2,
10.1016/j.jenvman.2025.126648,,2025,Journal of Environmental Management,Zhe Liu,Zhe Liu; Jie Lei; Rushuo Yang; Linshan Cheng; Ying Du; Yuhang Zhang; Jiaxuan Wang; Yongjun Liu,Elsevier BV,0301-4797,2,
10.1109/southeastcon56624.2025.10971455,,2025,SoutheastCon 2025,Justin Logan,Justin Logan; Nicole Roberts; Michael Smith,IEEE,,1,
10.1155/2020/6347625,,2020,Journal of Control Science and Engineering,Yousuf Babiker M. Osman,Yousuf Babiker M. Osman; Wei Li,Wiley,1687-5249,17,
10.1109/access.2021.3094466,,2021,IEEE Access,Giup Seo,Giup Seo; Seungwook Yoon; Myungsun Kim; Changho Mun; Euiseok Hwang,Institute of Electrical and Electronics Engineers (IEEE),2169-3536,35,
10.1016/j.engappai.2020.103822,,2020,Engineering Applications of Artificial Intelligence,Raymond Houé Ngouna,Raymond Houé Ngouna; Romy Ratolojanahary; Kamal Medjaher; Fabien Dauriac; Mathieu Sebilo; Jean Junca-Bourié,Elsevier BV,0952-1976,22,
10.1155/2020/2734135,,2020,BioMed Research International,Khairunnisa’ Mohd Zin,Khairunnisa’ Mohd Zin; Mohd Izuan Effendi Halmi; Siti Salwa Abd Gani; Uswatun Hasanah Zaidan; A. Wahid Samsuri; Mohd Yunus Abd Shukor,Wiley,2314-6133,36,
