doi,paper_title,year,journal,first_author,authors,publisher,issn,cited_by_count,crossref_type
10.1145/3573428.3573489,,2022,Proceedings of the 2022 6th International Conference on Electronic Information Technology and Computer Engineering,Yingtao Hu,Yingtao Hu; Jin Li,ACM,,5,
10.1016/j.biortech.2025.132210,,2025,Bioresource Technology,Ziang Zhu,Ziang Zhu; Shaokang Dong; Han Zhang; Wayne Parker; Ran Yin; Xuanye Bai; Zhengxin Yu; Jinfeng Wang; Yang Gao; Hongqiang Ren,Elsevier BV,0960-8524,12,
10.1016/j.jwpe.2025.108108,,2025,Journal of Water Process Engineering,Ahmad Hosseinzadeh,Ahmad Hosseinzadeh; Farid Amirkhani; Nahid Azizi; Amir Dashti; John L. Zhou; Ali Altaee,Elsevier BV,2214-7144,7,
10.1109/tii.2024.3452242,,2025,IEEE Transactions on Industrial Informatics,Hongyan Yang,Hongyan Yang; Yingfan Ding; Xiaolong Wu; Honggui Han,Institute of Electrical and Electronics Engineers (IEEE),1551-3203,5,
10.1109/icivc58118.2023.10270767,,2023,"2023 8th International Conference on Image, Vision and Computing (ICIVC)",Zhaozhao Zhang,Zhaozhao Zhang; Juan Wu; Lei Yang; Yingqin Zhu,IEEE,,0,
10.2166/ws.2023.219,,2023,Water Supply,Eloiza Laisla Lino Tochio,Eloiza Laisla Lino Tochio; Bruno Cézar do Nascimento; Sandro Rogério Lautenschlager,IWA Publishing,1606-9749,13,
10.15407/jai2023.02.107,,2023,Artificial Intelligence,Matviichuk M,Matviichuk M,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),2710-1673,0,
10.1109/iccea62105.2024.10604051,,2024,2024 5th International Conference on Computer Engineering and Application (ICCEA),Jiangang Fei,Jiangang Fei,IEEE,,2,
10.1109/icstcc62912.2024.10744668,,2024,"2024 28th International Conference on System Theory, Control and Computing (ICSTCC)",Daniel Voipan,Daniel Voipan; Iulian Vasiliev; Larisa Diaconu; Andreea-Elena Voipan; Marian Barbu,IEEE,,5,
10.1109/iceca63461.2024.10800837,,2024,"2024 8th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",M. Meenalochani,M. Meenalochani; T. Hariharan; S. Vishnu Kumar,IEEE,,1,
10.1038/s41598-024-53407-3,,2024,Scientific Reports,Diksha Puri,Diksha Puri; Raj Kumar; Sushil Kumar; M. S. Thakur; Gusztáv Fekete; Daeho Lee; Tej Singh,Springer Science and Business Media LLC,2045-2322,11,
10.1109/jiot.2020.3034311,,2021,IEEE Internet of Things Journal,Mohammad Sadegh Sadeghi Garmaroodi,Mohammad Sadegh Sadeghi Garmaroodi; Faezeh Farivar; Mohammad Sayad Haghighi; Mahdi Aliyari Shoorehdeli; Alireza Jolfaei,Institute of Electrical and Electronics Engineers (IEEE),2327-4662,53,
10.1109/jas.2018.7511168,,2018,IEEE/CAA Journal of Automatica Sinica,Junfei Qiao,Junfei Qiao; Hongbiao Zhou,Institute of Electrical and Electronics Engineers (IEEE),2329-9266,45,
10.1021/acs.est.3c00353,,2023,Environmental Science &amp; Technology,Henry C. Croll,Henry C. Croll; Kaoru Ikuma; Say Kee Ong; Soumik Sarkar,American Chemical Society (ACS),0013-936X,44,
10.1016/j.dwt.2024.100736,,2024,Desalination and Water Treatment,Xijun Zhang,Xijun Zhang; Si Yong,Elsevier BV,1944-3986,4,
10.1002/clen.202400009,,2024,"CLEAN – Soil, Air, Water",Saurabh Samuchiwal,Saurabh Samuchiwal; Saurabh Saraswat; Vivek Kumar Nair; Aman Chaudhary; Anushree Malik,Wiley,1863-0650,4,
10.1109/etfa54631.2023.10275522,,2023,2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),Oscar Aponte-Rengifo,Oscar Aponte-Rengifo; Ramón Vilanova; Mario Francisco; Pastora Vega; Silvana Revollar,IEEE,,1,
10.2166/aqua.2015.030,,2015,Journal of Water Supply: Research and Technology - Aqua,Maliheh Falah Nezhad,Maliheh Falah Nezhad; Naser Mehrdadi; Ali Torabian; Sadegh Behboudian,IWA Publishing,0003-7214,3,
10.1371/journal.pwat.0000040,,2022,PLOS Water,Michael De Santi,Michael De Santi; Syed Imran Ali; Matthew Arnold; Jean-François Fesselet; Anne M. J. Hyvärinen; Dawn Taylor; Usman T. Khan,Public Library of Science (PLoS),2767-3219,3,
10.1109/tcyb.2022.3164476,,2023,IEEE Transactions on Cybernetics,Ping Zhou,Ping Zhou; Xuan Wang; Tianyou Chai,Institute of Electrical and Electronics Engineers (IEEE),2168-2267,70,
10.1021/acsestwater.4c00073,,2024,ACS ES&amp;T Water,Hao Lu,Hao Lu; Zhao-Hui Meng; Bao Zhang; Shuang Song; Shu-Yan Zhan; Yang Li; Qing-Lian Wu; Hua-Zhe Wang; Wan-Qian Guo,American Chemical Society (ACS),2690-0637,11,
10.1021/acsestwater.4c00040,,2024,ACS ES&amp;T Water,Ruojia Li,Ruojia Li; Kuanliang Feng; Tong An; Peijin Cheng; Lecheng Wei; Zihao Zhao; Xiangyang Xu; Liang Zhu,American Chemical Society (ACS),2690-0637,35,
10.11591/ijai.v9.i1.pp100-108,,2020,IAES International Journal of Artificial Intelligence (IJ-AI),Nurazizah Mahmod,Nurazizah Mahmod; Norhaliza Abdul Wahab; Muhammad Sani Gaya,Institute of Advanced Engineering and Science,2252-8938,0,
10.15666/aeer/1504_129142,,2017,Applied Ecology and Environmental Research,N NAEAMIKHAH,N NAEAMIKHAH,ALOKI Ltd,1589-1623,4,
10.1155/2022/9203335,,2022,Wireless Communications and Mobile Computing,Jianhong Li,Jianhong Li; Ken Cai; Huazhou Chen; Lili Xu; Qinyong Lin; Feng Xu,Wiley,1530-8669,4,
10.2166/hydro.2023.028,,2023,Journal of Hydroinformatics,Laura Enriquez,Laura Enriquez; Laura González; Juan G. Saldarriaga,IWA Publishing,1464-7141,4,
10.1109/tii.2024.3413357,,2024,IEEE Transactions on Industrial Informatics,Junfei Qiao,Junfei Qiao; Dapeng Li; Honggui Han,Institute of Electrical and Electronics Engineers (IEEE),1551-3203,11,
10.1109/ictech58362.2023.00046,,2023,2023 12th International Conference of Information and Communication Technology (ICTech),Yingtao Hu,Yingtao Hu; Yonghong Zhang; Duan Jian; Jin Li,IEEE,,4,
10.2166/ws.2023.328,,2023,Water Supply,Aída Álvarez Díez,Aída Álvarez Díez; Rocío Pena Rois; Iulian Mocanu; Claudia Orzan; Cristian Brebenel; Jiru Stere; Santiago Muíños Landín; Juan Manuel Fernández Montenegro,IWA Publishing,1606-9749,8,
10.2166/ws.2018.173,,2018,Water Supply,Jani Tomperi,Jani Tomperi; Kauko Leiviskä,IWA Publishing,1606-9749,3,
10.2166/wst.2017.417,,2017,Water Science and Technology,Jiayan Zhang,Jiayan Zhang; Cuicui Du; Xugang Feng,IWA Publishing,0273-1223,7,
10.2166/ws.2021.062,,2021,Water Supply,Gerald Riss,Gerald Riss; Michele Romano; Fayyaz Ali Memon; Zoran Kapelan,IWA Publishing,1606-9749,5,
10.2166/wst.2018.263,,2018,Water Science and Technology,E. V. Vinitha,E. V. Vinitha; M. Mansoor Ahammed; Mahesh R. Gadekar,IWA Publishing,0273-1223,25,
10.2166/wst.2018.477,,2018,Water Science and Technology,Vahid Nourani,Vahid Nourani; Gozen Elkiran; S. I. Abba,IWA Publishing,0273-1223,249,
10.2166/wst.2020.053,,2020,Water Science and Technology,KiJeon Nam,KiJeon Nam; SungKu Heo; Jorge Loy-Benitez; Pouya Ifaei; ChangKyoo Yoo,IWA Publishing,0273-1223,26,
10.2166/wst.2021.238,,2021,Water Science and Technology,Jorge Villamil,Jorge Villamil; Jorge Victorino; Francisco Gómez,IWA Publishing,0273-1223,4,
10.2166/wst.2021.067,,2021,Water Science and Technology,Nasim Hejabi,Nasim Hejabi; Seyed Mahdi Saghebian; Mohammad Taghi Aalami; Vahid Nourani,IWA Publishing,0273-1223,30,
10.2166/wst.2019.257,,2019,Water Science and Technology,Narendra Khatri,Narendra Khatri; Kamal Kishore Khatri; Abhishek Sharma,IWA Publishing,0273-1223,57,
10.2166/wst.2020.382,,2020,Water Science and Technology,O. Icke,O. Icke; D. M. van Es; M. F. de Koning; J. J. G. Wuister; J. Ng; K. M. Phua; Y. K. K. Koh; W. J. Chan; G. Tao,IWA Publishing,0273-1223,62,
10.2174/1573411019666230221143245,,2023,Current Analytical Chemistry,Siham Kherraf,Siham Kherraf; Chaymae Bakkouche; Soukaina Barhmi; Jamal Mabrouki; Souad El Hajjaji; Omkeltoum Elfatni; Driss Dhiba; Khlifa Maissine,Bentham Science Publishers Ltd.,1573-4110,5,
10.2166/wst.2024.099,,2024,Water Science &amp; Technology,Syahira Ibrahim,Syahira Ibrahim; Norhaliza Abdul Wahab,IWA Publishing,0273-1223,7,
10.2166/wst.2021.511,,2021,Water Science and Technology,Khalid El Ghazouli,Khalid El Ghazouli; Jamal El Khatabi; Aziz Soulhi; Isam Shahrour,IWA Publishing,0273-1223,25,
10.21741/9781644901311-8,,2021,Materials Research Proceedings,,,Materials Research Forum LLC,2474-395X,5,
10.22452/mjs.sp2019no2.7,,2019,Malaysian Journal of Science,Hidayatul Khusna,Hidayatul Khusna; Muhammad Mashuri; Suhartono S.; Dedy Dwi Prastyo; Muhammad Ahsan,Univ. of Malaya,1394-3065,3,
10.2166/wst.2024.293,,2024,Water Science &amp; Technology,Marcello Serrao,Marcello Serrao; Vincent Jauzein; Ilan Juran; Bruno Tassin; Peter Vanrolleghem,IWA Publishing,0273-1223,12,
10.22597/rcest.v4.64,,2020,Research Communication in Engineering Science &amp; Technology,Mohammad Asad Tariq,Mohammad Asad Tariq; Vasanthi Sethu; Senthilkumar Arumugasamy; Anurita Selvarajoo,Galaxy Tech Solutions,2636-994X,5,
10.22126/arww.2018.874,,,,,,,,,
10.23919/ccc52363.2021.9550511,,2021,2021 40th Chinese Control Conference (CCC),Tong Liu,Tong Liu; Wei Chai,IEEE,,3,
10.23850/22565035.1636,,2019,Informador Técnico,Luis Octavio González Salcedo,Luis Octavio González Salcedo; José Benjamín García Nuñez,Servicio Nacional de Aprendizaje SENA,2256-5035,0,
10.22531/muglajsci.618373,,2020,Mugla Journal of Science and Technology,Esra BİLGİN ŞİMŞEK,Esra BİLGİN ŞİMŞEK; Taner ALKAY,Mugla Sitki Kocman University,2149-3596,2,
10.23919/softcom.2019.8903866,,2019,"2019 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)",Dziri Jalal,Dziri Jalal; Tahar Ezzedine,IEEE,,15,
10.2478/ceer-2020-0059,,2020,Civil and Environmental Engineering Reports,Lesław Płonka,Lesław Płonka,"University of Zielona Góra, Poland",2080-5187,0,
10.24425/aep.2023.145893,,2023,Archives of Environmental Protection,,,Polish Academy of Sciences Chancellery,2083-4772,0,
10.2478/ceer-2022-0066,,2022,Civil and Environmental Engineering Reports,Lesław Płonka,Lesław Płonka,"University of Zielona Góra, Poland",2080-5187,0,
10.23919/chicc.2019.8866516,,2019,2019 Chinese Control Conference (CCC),Shun Huang,Shun Huang; Lijun Zhang; Hui Guo; Peng Chen; Wei Xia; Cong Hu,IEEE,,2,
10.2495/wrm190101,,2019,WIT Transactions on Ecology and the Environment,THIBAULT MERCIER,THIBAULT MERCIER; ABEL DEMBELE; THIERRY DENOEUX; PASCAL BLANC,WIT Press,1743-3541,2,
10.30574/gscaet.2022.4.2.0033,,2022,GSC Advanced Engineering and Technology,Obasi Peter Okeke,Obasi Peter Okeke; Ismail I Aminu; Abdulazeez Rotimi; Bara’u Gafai Najashi; M.M Jibril; Awaisu Shafiu Ibrahim; Abba Bashir; Salim Idris Malami; Habibu M.A; Mohammed Mukhtar Magaji,GSC Online Press,,7,
10.26483/ijarcs.v16i3.7257,,2025,international journal of advanced research in computer science,"KAMATOY, NICOLE JOICE C.","KAMATOY, NICOLE JOICE C.",IJARCS International Journal of Advanced Research in Computer Science,0976-5697,0,
10.29007/dlvk,,,EPiC Series in Engineering,Luca Abele Piciaccia,Luca Abele Piciaccia; Danilo Croce; Roberto Basili; Pia Ryfors; Jonas Pettersen,EasyChair,2516-2330,0,
10.30955/gnj.004503,,2022,Global NEST Journal,,,University of the Aegean,1790-7632,1,
10.30574/wjaets.2025.17.3.1546,,2025,World Journal of Advanced Engineering Technology and Sciences,Asit Chatterjee,Asit Chatterjee; Mahim Mathur; Anil Pal; Mukesh Kumar Gupta,GSC Online Press,2582-8266,0,
10.30765/er.2232,,2023,Engineering review,Goran Volf,Goran Volf; Morana Krbavčić; Ivana Sušanj Čule; Sonja Zorko,"Faculty of Engineering, University of Rijeka",1849-0433,0,
10.30955/gnc2019.00238,,,Global NEST International Conference on Environmental Science &amp; Technology,K Kandris,K Kandris; E Romas; A Tzimas; E Gavalakis,Cosmos S.A.,2944-9820,0,
10.30955/gnj.003923,,2021,Global NEST Journal,,,University of the Aegean,1790-7632,1,
10.31202/ecjse.1135485,,2022,El-Cezeri Fen ve Mühendislik Dergisi,Fatma AZİZOĞLU,Fatma AZİZOĞLU; Emre ÜNSAL,El-Cezeri: Journal of Science and Engineering,2148-3736,1,
10.3233/ajw190041,,2019,"Asian Journal of Water, Environment and Pollution",Ritabrata Roy,Ritabrata Roy,AccScience Publishing,0972-9860,2,
10.3311/ppch.13866,,2019,Periodica Polytechnica Chemical Engineering,Aleksandar Jokić,Aleksandar Jokić; Nevenka Nikolić; Nataša Lukić; Jovana Grahovac; Jelena Dodić; Zorana Rončević; Zita Šereš,Periodica Polytechnica Budapest University of Technology and Economics,1587-3765,1,
10.32604/csse.2023.039645,,2023,Computer Systems Science and Engineering,Aiping Xu,Aiping Xu; Xuan Zou; Chao Wang,Tech Science Press,0267-6192,2,
10.3384/ecp200037,,2023,Linköping Electronic Conference Proceedings,Tiina Komulainen,Tiina Komulainen; Abdul Malik Baqeri; Einar Nermo; Arvind Keprate; Torgeir Saltnes; Katrine Marsten Jansen; Olga Korostynska,Linköping University Electronic Press,1650-3686,3,
10.31185/ejuow.vol10.iss3.317,,2022,Wasit Journal of Engineering Sciences,Yousif Zakoor,Yousif Zakoor; Hatem Gzar,Wasit University,2663-1970,2,
10.3389/fenve.2024.1373881,,2024,Frontiers in Environmental Engineering,M. H. Mng’ombe,M. H. Mng’ombe; E. W. Mtonga; B. A. Chunga; R. C. G. Chidya; M. Malota,Frontiers Media SA,2813-5067,3,
10.3389/fenvs.2022.1027693,,2022,Frontiers in Environmental Science,Binqiang Ye,Binqiang Ye; Xuejie Cao; Hong Liu; Yong Wang; Bin Tang; Changhong Chen; Qing Chen,Frontiers Media SA,2296-665X,19,
10.3233/jifs-212676,,2022,Journal of Intelligent &amp; Fuzzy Systems,K. Pavendan,K. Pavendan; V. Nagarajan,SAGE Publications,1064-1246,5,
10.3389/fenve.2025.1488965,,2025,Frontiers in Environmental Engineering,Raphael Anaadumba,Raphael Anaadumba; Yigit Bozkurt; Connor Sullivan; Madhavi Pagare; Pradeep Kurup; Benyuan Liu; Mohammad Arif Ul Alam,Frontiers Media SA,2813-5067,2,
10.3390/agronomy15030703,,2025,Agronomy,Daniyal Durmuş Köksal,Daniyal Durmuş Köksal; Yeşim Ahi; Mladen Todorovic,MDPI AG,2073-4395,6,
10.3389/frwa.2023.1199632,,2023,Frontiers in Water,Grigorios Kyritsakas,Grigorios Kyritsakas; Joby Boxall; Vanessa Speight,Frontiers Media SA,2624-9375,10,
10.3389/fevo.2023.1199870,,2023,Frontiers in Ecology and Evolution,Hongbo Liu,Hongbo Liu; Haoran Jian,Frontiers Media SA,2296-701X,6,
10.3390/a16050248,,2023,Algorithms,Vadim Kramar,Vadim Kramar; Vasiliy Alchakov,MDPI AG,1999-4893,28,
10.3390/app11125434,,2021,Applied Sciences,Francesco Facchini,Francesco Facchini; Luigi Ranieri; Micaela Vitti,MDPI AG,2076-3417,14,
10.3390/app12126079,,2022,Applied Sciences,Daniela Lopez-Betancur,Daniela Lopez-Betancur; Ivan Moreno; Carlos Guerrero-Mendez; Tonatiuh Saucedo-Anaya; Efrén González; Carlos Bautista-Capetillo; Julián González-Trinidad,MDPI AG,2076-3417,24,
10.3390/app13137461,,2023,Applied Sciences,Chiara Toffanin,Chiara Toffanin; Federico Di Palma; Francesca Iacono; Lalo Magni,MDPI AG,2076-3417,4,
10.3390/app13084752,,2023,Applied Sciences,Félix Hernández-del-Olmo,Félix Hernández-del-Olmo; Elena Gaudioso; Natividad Duro; Raquel Dormido; Mikel Gorrotxategi,MDPI AG,2076-3417,22,
10.3390/app13127011,,2023,Applied Sciences,Yue Li,Yue Li; Bin Kong; Weiwei Yu; Xingliang Zhu,MDPI AG,2076-3417,23,
10.3390/app13137848,,2023,Applied Sciences,Henri Pörhö,Henri Pörhö; Jani Tomperi; Aki Sorsa; Esko Juuso; Jari Ruuska; Mika Ruusunen,MDPI AG,2076-3417,7,
10.3390/app122412914,,2022,Applied Sciences,SK Safdar Hossain,SK Safdar Hossain; Bamidele Victor Ayodele; Zaid Abdulhamid Alhulaybi; Muhammad Mudassir Ahmad Alwi,MDPI AG,2076-3417,0,
10.3390/app14198622,,2024,Applied Sciences,Md. Shamim Bin Shahid,Md. Shamim Bin Shahid; Habibur Rahman Rifat; Md Ashraf Uddin; Md Manowarul Islam; Md. Zulfiker Mahmud; Md Kowsar Hossain Sakib; Arun Roy,MDPI AG,2076-3417,13,
10.3390/app14020901,,2024,Applied Sciences,Shurong Peng,Shurong Peng; Lijuan Guo; Yuanshu Li; Haoyu Huang; Jiayi Peng; Xiaoxu Liu,MDPI AG,2076-3417,5,
10.3390/app15084130,,2025,Applied Sciences,Jiawei Gao,Jiawei Gao; Bochao Chen; Su-Kit Tang,MDPI AG,2076-3417,2,
10.3390/app15168990,,2025,Applied Sciences,Žydrūnas Kavaliauskas,Žydrūnas Kavaliauskas; Giedrius Blažiūnas; Igor Šajev; Aleksandras Iljinas; Dovilė Gimžauskaitė,MDPI AG,2076-3417,1,
10.3390/app8020261,,2018,Applied Sciences,Xianjun Du,Xianjun Du; Junlu Wang; Veeriah Jegatheesan; Guohua Shi,MDPI AG,2076-3417,100,
10.3390/app132212406,,2023,Applied Sciences,Yueping Kong,Yueping Kong; Zhiyuan Shen,MDPI AG,2076-3417,14,
10.3390/automation5020008,,2024,Automation,Gabryel M. Raposo de Alencar,Gabryel M. Raposo de Alencar; Fernanda M. Lima Fernandes; Rafael Moura Duarte; Petrônio Ferreira de Melo; Altamar Alencar Cardoso; Heber Pimentel Gomes; Juan M. Mauricio Villanueva,MDPI AG,2673-4052,8,
10.3390/app9030523,,2019,Applied Sciences,Ping Yu,Ping Yu; Jie Cao; Veeriah Jegatheesan; Xianjun Du,MDPI AG,2076-3417,22,
10.3390/automation6010002,,2024,Automation,Igor Gulshin,Igor Gulshin; Olga Kuzina,MDPI AG,2673-4052,9,
10.3390/chemosensors12030034,,2024,Chemosensors,Lorena Parra,Lorena Parra; Ali Ahmad; Sandra Sendra; Jaime Lloret; Pascal Lorenz,MDPI AG,2227-9040,37,
10.3390/en13133338,,2020,Energies,Krzysztof Gaska,Krzysztof Gaska; Agnieszka Generowicz,MDPI AG,1996-1073,18,
10.3390/en14061552,,2021,Energies,Mariusz Kowalczyk,Mariusz Kowalczyk; Tomasz Kamizela,MDPI AG,1996-1073,7,
10.3390/chemosensors11040229,,2023,Chemosensors,Zhongyuan Zhang,Zhongyuan Zhang; Qiaomei Zhou; Shanshan Qiu; Jie Zhou; Jingang Huang,MDPI AG,2227-9040,6,
10.3390/bios15050284,,2025,Biosensors,Andrés Saavedra-Ruiz,Andrés Saavedra-Ruiz; Pedro J. Resto-Irizarry,MDPI AG,2079-6374,2,
10.3390/en16062871,,2023,Energies,Bartosz Szeląg,Bartosz Szeląg; Szymon Sobura; Renata Stoińska,MDPI AG,1996-1073,3,
10.3390/en17020364,,2024,Energies,Angelique Mukasine,Angelique Mukasine; Louis Sibomana; Kayalvizhi Jayavel; Kizito Nkurikiyeyezu; Eric Hitimana,MDPI AG,1996-1073,9,
10.3390/fermentation10120639,,2024,Fermentation,Sarah E. Daly,Sarah E. Daly; Ji-Qin Ni,MDPI AG,2311-5637,3,
10.3390/engproc2024069110,,2024,The 3rd International Joint Conference on Water Distribution Systems Analysis &amp;amp; Computing and Control for the Water Industry (WDSA/CCWI 2024),Valts Urbanovičs,Valts Urbanovičs; Sergei Parshutin; Jānis Rubulis; Mārtiņš Bonders; Katrīna Dambeniece; Roberts Ozols; Dāvids Štēbelis; Sandis Dejus,MDPI,,2,
10.3390/eng6050098,,2025,Eng,Siham Kherraf,Siham Kherraf; Mariem Ennouhi; Abir El Mansouri; Souad El Hajjaji; Hamid Nasrellah; Meryem Bensemlali; Abdellatif Aarfane; Ayoub Cherrat; Najoua Labjar,MDPI AG,2673-4117,3,
10.3390/fermentation8030099,,2022,Fermentation,Zhixin Qi,Zhixin Qi; Zhennan Wang; Meiting Chen; Deqi Xiong,MDPI AG,2311-5637,7,
10.3390/en16217408,,2023,Energies,Panagiotis Karadimos,Panagiotis Karadimos; Leonidas Anthopoulos,MDPI AG,1996-1073,11,
10.3390/fermentation8020065,,2022,Fermentation,Senem Önen Cinar,Senem Önen Cinar; Samet Cinar; Kerstin Kuchta,MDPI AG,2311-5637,32,
10.3390/fermentation10120660,,2024,Fermentation,Dean Kong,Dean Kong; Lijie Chu; Ping Yang; Yujing Guan; Hao Xu; Jie Chen; Yange Yu; Xiaochuan Yan; Bingfeng Liu; Guangli Cao; Xihai Zhang,MDPI AG,2311-5637,2,
10.3390/fi15080265,,2023,Future Internet,Angelique Mukasine,Angelique Mukasine; Louis Sibomana; Kayalvizhi Jayavel; Kizito Nkurikiyeyezu; Eric Hitimana,MDPI AG,1999-5903,2,
10.3390/ma15051932,,2022,Materials,Muhammad Irfan,Muhammad Irfan; Sharjeel Waqas; Ushtar Arshad; Javed Akbar Khan; Stanislaw Legutko; Izabela Kruszelnicka; Dobrochna Ginter-Kramarczyk; Saifur Rahman; Anna Skrzypczak,MDPI AG,1996-1944,38,
10.3390/membranes11010070,,2021,Membranes,Jasir Jawad,Jasir Jawad; Alaa Hawari; Syed Zaidi,MDPI AG,2077-0375,50,
10.3390/membranes12080726,,2022,Membranes,Syahira Ibrahim,Syahira Ibrahim; Norhaliza Abdul Wahab,MDPI AG,2077-0375,12,
10.3390/e27121233,,2025,Entropy,Zhipeng Zhuang,Zhipeng Zhuang; Xiaoshan Liu; Jing Jin; Ziwen Li; Yanheng Liu; Adriano Tavares; Dalin Li,MDPI AG,1099-4300,0,
10.3390/jmse10050683,,2022,Journal of Marine Science and Engineering,Yurui Zhang,Yurui Zhang; Zhiyong Duan; Anzhe Yi; Jiaqi Hu; Yanhu Chen,MDPI AG,2077-1312,5,
10.3390/membranes12090883,,2022,Membranes,José-Luis Díez,José-Luis Díez; Vicente Masip-Moret; Asunción Santafé-Moros; José M. Gozálvez-Zafrilla,MDPI AG,2077-0375,6,
10.3390/membranes12090821,,2022,Membranes,Sharjeel Waqas,Sharjeel Waqas; Noorfidza Yub Harun; Nonni Soraya Sambudi; Ushtar Arshad; Nik Abdul Hadi Md Nordin; Muhammad Roil Bilad; Anwar Ameen Hezam Saeed; Asher Ahmed Malik,MDPI AG,2077-0375,45,
10.3390/mi14061128,,2023,Micromachines,Meng Xia,Meng Xia; Ruifang Yang; Nanjing Zhao; Xiaowei Chen; Ming Dong; Jingsong Chen,MDPI AG,2072-666X,6,
10.3390/mi15081045,,2024,Micromachines,Tongfei Wang,Tongfei Wang; Jiping Niu; Haoran Pang; Xiaoyu Meng; Ruqian Sun; Jiaqing Xie,MDPI AG,2072-666X,5,
10.3390/molecules30051092,,2025,Molecules,Harvey Rutland,Harvey Rutland; Jiseon You; Haixia Liu; Kyle Bowman,MDPI AG,1420-3049,4,
10.3390/pr11041287,,2023,Processes,Maria Teresa Gaudio,Maria Teresa Gaudio; Stefano Curcio; Sudip Chakraborty; Vincenza Calabrò,MDPI AG,2227-9717,9,
10.3390/pr13010280,,2025,Processes,Jianjun Deng,Jianjun Deng; Wentong Liu; Cheng Zheng; Chuanzhen Wang,MDPI AG,2227-9717,0,
10.3390/membranes11080554,,2021,Membranes,Nur Sakinah Ahmad Yasmin,Nur Sakinah Ahmad Yasmin; Norhaliza Abdul Wahab; Fatimah Sham Ismail; Mu’azu Jibrin Musa; Mohd Hakim Ab Halim; Aznah Nor Anuar,MDPI AG,2077-0375,12,
10.3390/membranes13120900,,2023,Membranes,Bashar H. Ismael,Bashar H. Ismael; Faidhalrahman Khaleel; Salah S. Ibrahim; Samraa R. Khaleel; Mohamed Khalid AlOmar; Adil Masood; Mustafa M. Aljumaily; Qusay F. Alsalhy; Siti Fatin Mohd Razali; Raed A. Al-Juboori; Mohammed Majeed Hameed; Alanood A. Alsarayreh,MDPI AG,2077-0375,9,
10.3390/pr13061664,,2025,Processes,Fathima Reneeth,Fathima Reneeth; Tabassum-Abbasi; Tasneem Abbasi; S. A. Abbasi,MDPI AG,2227-9717,2,
10.3390/pr13082352,,2025,Processes,Jie Liang,Jie Liang; Sangyoup Lee; Xianghao Ren; Yingjie Guo; Jeonghyun Park; Sung-Gwan Park; Ji-Yeon Kim; Moon-Hyun Hwang,MDPI AG,2227-9717,6,
10.3390/pr13072301,,2025,Processes,Míriam Timiraos,Míriam Timiraos; Antonio Díaz-Longueira; Esteban Jove; Óscar Fontenla-Romero; José Luis Calvo-Rolle,MDPI AG,2227-9717,0,
10.3390/pr11020478,,2023,Processes,Hauwa Mustafa,Hauwa Mustafa; Gasim Hayder; S. Abba; Abeer Algarni; Mohammed Mnzool; Abdurahman Nour,MDPI AG,2227-9717,8,
10.3390/pr11082269,,2023,Processes,Oscar Aponte-Rengifo,Oscar Aponte-Rengifo; Mario Francisco; Ramón Vilanova; Pastora Vega; Silvana Revollar,MDPI AG,2227-9717,22,
10.3390/pr8121672,,2020,Processes,Norhaliza Abdul Wahab,Norhaliza Abdul Wahab; Nurazizah Mahmod; Ramon Vilanova,MDPI AG,2227-9717,7,
10.3390/pr9091633,,2021,Processes,Alexandra-Veronica Luca,Alexandra-Veronica Luca; Melinda Simon-Várhelyi; Norbert-Botond Mihály; Vasile-Mircea Cristea,MDPI AG,2227-9717,19,
10.3390/pr9091639,,2021,Processes,Xiaochuan Huang,Xiaochuan Huang; Yan Gao; Ling Zhu; Ge He,MDPI AG,2227-9717,2,
10.3390/s17122806,,2017,Sensors,Yingchi Mao,Yingchi Mao; Hai Qi; Ping Ping; Xiaofang Li,MDPI AG,1424-8220,8,
10.3390/pr9010085,,2021,Processes,Samet Cinar,Samet Cinar; Senem Onen Cinar; Nils Wieczorek; Ihsanullah Sohoo; Kerstin Kuchta,MDPI AG,2227-9717,62,
10.3390/pr9112059,,2021,Processes,Arif Reza,Arif Reza; Lide Chen,MDPI AG,2227-9717,13,
10.3390/s19143139,,2019,Sensors,Félix Hernández-del-Olmo,Félix Hernández-del-Olmo; Elena Gaudioso; Natividad Duro; Raquel Dormido,MDPI AG,1424-8220,46,
10.3390/s20051342,,2020,Sensors,Diego Garcia,Diego Garcia; Vicenç Puig; Joseba Quevedo,MDPI AG,1424-8220,13,
10.3390/s18040938,,2018,Sensors,Kexin Wang,Kexin Wang; Xiang Wen; Dibo Hou; Dezhan Tu; Naifu Zhu; Pingjie Huang; Guangxin Zhang; Hongjian Zhang,MDPI AG,1424-8220,25,
10.3390/s19061280,,2019,Sensors,Ivan Pisa,Ivan Pisa; Ignacio Santín; Jose Lopez Vicario; Antoni Morell; Ramon Vilanova,MDPI AG,1424-8220,77,
10.3390/s20071941,,2020,Sensors,Bartosz Szeląg,Bartosz Szeląg; Jakub Drewnowski; Grzegorz Łagód; Dariusz Majerek; Ewa Dacewicz; Francesco Fatone,MDPI AG,1424-8220,26,
